================================================================
ALPHA TERMINAL — ALL PICKS  |  2026-03-13
================================================================
Games: 8  |  Prop lines scored: 232
NOTE: AST legs marked [!] — model hit rate 41% (below random), bet at own risk
================================================================

MONEYLINES
──────────────────────────────────────────────────────────────
  Team                            Model%  Side   ML Odds  vs
──────────────────────────────────────────────────────────────
  Aaron Nesmith              ast[!]  2.5    1.9   29.6%  LOW     +158   Knicks @ Pacers
  Karl-Anthony Towns         reb    12.5   10.6   29.1%  LOW     +109   Knicks @ Pacers
  Kevin Durant               ast[!]  4.5    3.6   29.1%  LOW     -138   Pelicans @ Rockets
  Brandon Ingram             ast[!]  4.5    3.6   29.1%  LOW     +115   Suns @ Raptors
  Zion Williamson            ast[!]  3.5    2.7   28.3%  LOW     +122   Pelicans @ Rockets
  Naji Marshall              reb     4.5    3.4   28.0%  LOW     +134   Cavaliers @ Mavericks
  OG Anunoby                 reb     5.5    4.3   28.0%  LOW     +128   Knicks @ Pacers
  Marcus Sasser              reb     2.5    1.8   27.8%  LOW     +136   Grizzlies @ Pistons
  Immanuel Quickley          ast[!]  6.5    5.3   27.6%  LOW     +115   Suns @ Raptors
  Scottie Barnes             ast[!]  4.5    3.5   27.2%  LOW     -104   Suns @ Raptors
  Jaden McDaniels            reb     4.5    3.4   26.9%  LOW     +134   Timberwolves @ Warriors
  Amen Thompson              ast[!]  5.5    4.3   26.4%  LOW     -137   Pelicans @ Rockets
  Julius Randle              ast[!]  4.5    3.4   26.2%  LOW     +118   Timberwolves @ Warriors
  Jakob Poeltl               reb     8.5    7.2   26.0%  LOW     -109   Suns @ Raptors
  Keon Ellis                 reb     3.5    2.6   26.0%  LOW     +109   Cavaliers @ Mavericks
  Mikal Bridges              pts    13.5   10.0   25.2%  LOW     -114   Knicks @ Pacers
  Marcus Sasser              ast[!]  3.5    2.5   25.0%  LOW     +128   Grizzlies @ Pistons
  Cade Cunningham            pts    24.5   19.2   24.0%  LOW     -104   Grizzlies @ Pistons
  Jaylen Wells               reb     3.5    2.4   23.5%  LOW     +134   Grizzlies @ Pistons
  James Harden               ast[!]  8.5    6.7   23.2%  LOW     -114   Cavaliers @ Mavericks
  OG Anunoby                 ast[!]  2.5    1.7   23.2%  LOW     +158   Knicks @ Pacers
  Kawhi Leonard              reb     7.5    5.7   22.3%  LOW     +107   Bulls @ Clippers
  Anthony Edwards            ast[!]  4.5    3.2   21.5%  LOW     +128   Timberwolves @ Warriors
  Tari Eason                 ast[!]  2.5    1.6   21.5%  LOW     +141   Pelicans @ Rockets
  Josh Giddey                pts    20.5   15.5   21.3%  LOW     +100   Bulls @ Clippers
  Scottie Barnes             reb     7.5    5.2   20.8%  LOW     +120   Suns @ Raptors
  Isaiah Collier             ast[!]  9.5    7.3   20.6%  LOW     +126   Jazz @ Blazers
  Alperen Sengun             ast[!]  5.5    3.9   19.6%  LOW     -114   Pelicans @ Rockets
  Tari Eason                 pts    11.5    7.3   19.1%  LOW     -112   Pelicans @ Rockets
──────────────────────────────────────────────────────────────
Total props: 232  |  [!] = AST model unreliable (41% hit rate on 2026-03-12)
================================================================
